relationshipId,createdTimestamp,updatedTimestamp,relationshipType,sourceNodeType,sourceNodeAttr,sourceNodeValue,targetNodeType,targetNodeAttr,targetNodeValue,affiliation,referenceType,sourceAuthoritySection,targetAuthoritySection,relationship,notes
,,,HAS_RELATED_AUTHORITY,Authority,reference,RFC3174,Authority,reference,NIST FIPS 180-1,,,,,technically equivalent,Restates SHA-1 in RFC.
,,,DEFINES,Authority,reference,RFC3174,Artifact,shortName,SHA-1,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC3394,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF GEN Area,Authority,reference,RFC3610,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF GEN Area,Authority,reference,RFC3766,,,,,,
,,,MEMBER_OF,Authority,reference,RFC3766,AuthorityGroup,reference,BCP86,,,,,,
,,,CONTROLS,ControllingOrg,shortName,pkix WG,Authority,reference,RFC3874,,,,,,
,,,DEFINES,Authority,reference,RFC3874,Artifact,shortName,SHA-224,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC4086,,,,,,
,,,OBSOLETES,Authority,reference,RFC4086,Authority,reference,RFC1750,,,,,,
,,,MEMBER_OF,Authority,reference,RFC4086,AuthorityGroup,reference,BCP106,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC4231,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC4270,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC4493,,,,,,
,,,DEFINES,Authority,reference,RFC4493,Artifact,shortName,AES-CMAC,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC4634,,,,,,
,,,UPDATES,Authority,reference,RFC4634,Authority,reference,RFC3174,,,,,,
,,,HAS_RELATED_AUTHORITY,Authority,reference,RFC4634,Authority,reference,NIST FIPS 180-2 (2004),,,,,technically equivalent,Restates SHA-1 and SHA-2 algorithms in RFC.
,,,DEFINES,Authority,reference,RFC4634,Artifact,shortName,SHA-224,,,,,,
,,,DEFINES,Authority,reference,RFC4634,Artifact,shortName,SHA-256,,,,,,
,,,DEFINES,Authority,reference,RFC4634,Artifact,shortName,SHA-384,,,,,,
,,,DEFINES,Authority,reference,RFC4634,Artifact,shortName,SHA-512,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC5114,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF GEN Area,Authority,reference,RFC5116,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC5639,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC5869,,,,,,
,,,DEFINES,Authority,reference,RFC5869,Artifact,shortName,HKDF,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC6090,,,,,,
,,,DEFINES,Authority,reference,RFC6090,Artifact,shortName,ECDH,,,,,,
,,,DEFINES,Authority,reference,RFC6090,Artifact,shortName,ECDSA,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC6149,,,,,,
,,,OBSOLETES,Authority,reference,RFC6149,Authority,reference,RFC1319,,,,,,
,,,DEPRECATES,Authority,reference,RFC6149,Authority,reference,RFC1319,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF GEN Area,Authority,reference,RFC6150,,,,,,
,,,OBSOLETES,Authority,reference,RFC6150,Authority,reference,RFC1320,,,,,,
,,,DEPRECATES,Authority,reference,RFC6150,Authority,reference,RFC1320,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC6151,,,,,,
,,,UPDATES,Authority,reference,RFC6151,Authority,reference,RFC1321,,,,,,
,,,UPDATES,Authority,reference,RFC6151,Authority,reference,RFC2104,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF GEN Area,Authority,reference,RFC6194,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF GEN Area,Authority,reference,RFC6234,,,,,,
,,,OBSOLETES,Authority,reference,RFC6234,Authority,reference,RFC4634,,,,,,
,,,UPDATES,Authority,reference,RFC6234,Authority,reference,RFC3174,,,,,,
,,,CONTROLS,ControllingOrg,shortName,tcpm WG,Authority,reference,RFC6528,,,,,,
,,,OBSOLETES,Authority,reference,RFC6528,Authority,reference,RFC1948,,,,,,
,,,UPDATES,Authority,reference,RFC6528,Authority,reference,RFC793,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC6955,,,,,,
,,,OBSOLETES,Authority,reference,RFC6955,Authority,reference,RFC2875,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC6979,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF SEC Area,Authority,reference,RFC7696,,,,,,
,,,MEMBER_OF,Authority,reference,RFC7696,AuthorityGroup,reference,BCP201,,,,,,
,,,CONTROLS,ControllingOrg,shortName,cfrg RG,Authority,reference,RFC7748,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC7914,,,,,,
,,,DEFINES,Authority,reference,RFC7914,Artifact,shortName,scrypt,,,,,,
,,,CONTROLS,ControllingOrg,shortName,cfrg RG,Authority,reference,RFC8032,,,,,,
,,,DEFINES,Authority,reference,RFC8032,Artifact,shortName,EdDSA,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2313,,,,,,
,,,DEFINES,Authority,reference,RFC2313,Artifact,shortName,RSAES-PKCS1-v1.5,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2314,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2315,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2437,,,,,,
,,,OBSOLETES,Authority,reference,RFC2437,Authority,reference,RFC2313,,,,,,
,,,DEFINES,Authority,reference,RFC2437,Artifact,shortName,RSAES-PKCS1-v1.5,,,,,,
,,,DEFINES,Authority,reference,RFC2437,Artifact,shortName,RSAES-OAEP,,,,,,
,,,DEFINES,Authority,reference,RFC2437,Artifact,shortName,RSASSA-PKCS1-v1.5,,,,,,
,,,CONTROLS,ControllingOrg,shortName,pkix WG,Authority,reference,RFC2511,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC2630,,,,,,
,,,CONTROLS,ControllingOrg,shortName,pkix WG,Authority,reference,RFC2797,,,,,,
,,,CONTROLS,ControllingOrg,shortName,smime WG,Authority,reference,RFC2876,,,,,,
,,,CONTROLS,ControllingOrg,shortName,IETF,Authority,reference,RFC2898,,,,,,
