authorityGroupId,createdTimestamp,updatedTimestamp,atlasStatus,groupType,reference,title,url,notes
,,,relOnly,collectedAuthority,ISO/IEC 10646:2014 (Unicode 9.0),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2014] (equivalent to Unicode 9.0),,Subset of amendments to ISO/IEC 10464:2014 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2017 (as amended),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2017],https://www.iso.org/standard/69119.html,
,,,relOnly,collectedAuthority,ISO/IEC 10646:2017 (Unicode 11.0),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2017] (equivalent to Unicode 11.0),,Subset of amendments to ISO/IEC 10464:2017 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2017 (Unicode 12.0),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2017] (equivalent to Unicode 12.0),,Subset of amendments to ISO/IEC 10464:2017 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2020 (as amended),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2020],https://www.iso.org/standard/76835.html,
,,,relOnly,collectedAuthority,ISO/IEC 10646:2020 (Unicode 15.0),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2020] (equivalent to Unicode 15.0),,Subset of amendments to ISO/IEC 10464:2020 for Unicode equivalence
,,,relOnly,collectedAuthority,ISO/IEC 10646:2020 (Unicode 16.0),Information technology — Universal Multiple-Octet Coded Character Set (UCS) [ISO/IEC 10646:2020] (equivalent to Unicode 16.0),,Subset of amendments to ISO/IEC 10464:2020 for Unicode equivalence
,,,relOnly,versionedAuthority,Unicode TR35,Unicode Technical Standard #35 — Unicode Locale Data Markup Language (LDML),https://www.unicode.org/reports/tr35/,
,,,relOnly,versionedAuthority,Unicode CLDR,Unicode Common Locale Data Repository,https://cldr.unicode.org/,"Comprehensive repository of locale data, released twice per year"
,,,relOnly,collectedAuthority,Internet Message Format,Internet Message Format,,
,,,relOnly,collectedAuthority,MIME,Multipurpose Internet Mail Extensions,,
,,,relOnly,collectedAuthority,IERS Bulletins,International Earth Rotation Service Bulletins,https://www.iers.org/IERS/EN/DataProducts/EarthOrientationData/eop,Bulletin A - Rapid Data and Predictions || Bulletin B - Monthly Earth Orientation Data || Bulletin C - Leap Second Announcements in UTC || Bulletin D - Announcements of DUT1
,,,relOnly,collectedAuthority,ITU-R TF Rec. Series,ITU-R Time Signals and Frequency Standards Emissions Series,https://www.itu.int/rec/R-REC-TF/en,
,,,relOnly,collectedAuthority,ABNF,Augmented Backus-Naur Form,,
,,,relOnly,versionedAuthority,ISO 8601,Date and time — Representations for information interchange,,
,,,relOnly,collectedAuthority,ISO 8601:1988 (as amended),Data Elements and Interchange Formats — Information Interchange — Representation of Dates and Times [ISO 8601:1988],https://www.iso.org/standard/15903.html,
,,,relOnly,collectedAuthority,ISO 8601-1:2019 (as amended),Date and Time — Representations for Information Interchange — Part 1: Basic Rules [ISO 8601-1:2019],https://www.iso.org/standard/70907.html,
,,,relOnly,collectedAuthority,ISO 8601-2:2019 (as amended),Date and Time — Representations for Information Interchange — Part 2: Extensions [ISO 8601-2:2019],https://www.iso.org/standard/70908.html,
,,,relOnly,versionedAuthority,ISO 3166,Codes for the representation of names of countries and their subdivisions,,
,,,relOnly,collectedAuthority,ISO 3166-1:2006 (as amended),Codes for the Representation of Names of Countries and their Subdivisions — Part 1: Country Codes [ISO 3166-1:2006],https://www.iso.org/standard/39719.html,
,,,relOnly,versionedAuthority,ISO/IEC 6523,Information Technology — Structure for the Identification of Organizations and Organization Parts,,
,,,relOnly,collectedAuthority,ISO 6523:1984 (as amended),Data Interchange — Structures for the Identification of Organizations [ISO 6523:1984],https://www.iso.org/standard/12908.html,
,,,relOnly,versionedAuthority,ASN.1 (Legacy),Abstract Notation One (ASN.1) — 1984-1994,,Legacy versions of ASN.1 syntax
,,,relOnly,versionedAuthority,ITU-T X.680 / ISO/IEC 8824-1,Information Technology — Abstract Syntax Notation One (ASN.1): Specification of Basic Notation,,Modern version of ASN.1
,,,relOnly,collectedAuthority,ITU-T Rec. X.680 (07/1994) / ISO/IEC 8824-1:1995 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Specification of Basic Notation [ITU-T Rec. X.680 (07/1994) / ISO/IEC 8824-1:1995],,
,,,relOnly,collectedAuthority,ITU-T Rec. X.680 (12/1997) / ISO/IEC 8824-1:1998 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Specification of Basic Notation [ITU-T Rec. X.680 (12/1997) / ISO/IEC 8824-1:1998],,
,,,relOnly,collectedAuthority,ITU-T Rec. X.680 (07/2002) / ISO/IEC 8824-1:2002 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Specification of Basic Notation [ITU-T Rec. X.680 (07/2002) / ISO/IEC 8824-1:2002],,
,,,relOnly,collectedAuthority,ITU-T Rec. X.680 (11/2008) / ISO/IEC 8824-1:2008 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Specification of Basic Notation [ITU-T Rec. X.680 (11/2008) / ISO/IEC 8824-1:2008],,
,,,relOnly,collectedAuthority,ITU-T Rec. X.680 (08/2015) / ISO/IEC 8824-1:2015 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Specification of Basic Notation [ITU-T Rec. X.680 (08/2015) / ISO/IEC 8824-1:2015],,
,,,relOnly,collectedAuthority,ITU-T Rec. X.680 (02/2021) / ISO/IEC 8824-1:2021 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Specification of Basic Notation [ITU-T Rec. X.680 (02/2021) / ISO/IEC 8824-1:2021],,
,,,relOnly,versionedAuthority,ITU-T X.681 / ISO/IEC 8824-2,Information Technology — Abstract Syntax Notation One (ASN.1): Information Object Specification,,
,,,relOnly,collectedAuthority,ITU-T X.681 (07/1994) / ISO/IEC 8824-2:1995 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Information Object Specification [ITU-T X.681 (07/1994) / ISO/IEC 8824-2:1995],,
