authorityId,createdTimestamp,updatedTimestamp,atlasCategory,atlasStatus,reference,versionTag,title,status,type,ietfStream,publishedDate,deprecatedDate,withdrawnDate,canonicalUrl,canonicalFormat,plainTextUrl,htmlUrl,otherUrl,otherFormat,doi,notes
,,,characterSet,noReview; relOnly; relComplete,ISO/IEC 10646:2014/Amd 1:2015,Edition 4,Information Technology — Universal Coded Character Set (UCS) (2014) — Amendment 1: Cherokee supplement and Other Characters,Withdrawn; Superseded,International Standard,,2015-05,,2017-12-20,https://www.iso.org/standard/65047.html,,,,,,,
,,,characterSet,noReview; relOnly; relComplete,ISO/IEC 10646:2014/Amd 2:2016,Edition 4,"Information Technology — Universal Coded Character Set (UCS) (2014) — Amendment 2: Bhaiksuki, Marchen, Tangut and Other Characters",Withdrawn; Superseded,International Standard,,2016-05,,2017-12-20,https://www.iso.org/standard/66791.html,,,,,,,
,,,characterSet,noReview; relOnly; relComplete,ISO/IEC 10646:2017,Edition 5,Information Technology — Universal Coded Character Set (UCS),Withdrawn; Superseded; Updated,International Standard,,2017-12,,2020-12-21,https://www.iso.org/standard/69119.html,,,,,,,
,,,characterSet,noReview; relOnly; relComplete,ISO/IEC 10646:2017/Amd 1:2019,Edition 5,"Information Technology — Universal Coded Character Set (UCS) (2017) — Amendment 1: Dogra, Gunjala Gondi, Makasar, Medefaidrin, Indic Siyaq Numbers and Other Characters",Withdrawn; Superseded,International Standard,,2019-01,,2020-12-21,https://www.iso.org/standard/70766.html,,,,,,,
,,,characterSet,noReview; relOnly; relComplete,ISO/IEC 10646:2017/Amd 2:2019,Edition 5,"Information Technology — Universal Coded Character Set (UCS) (2017) — Amendment 2: Nandinagari, Georgian Extension, and Other Characters",Withdrawn; Superseded,International Standard,,2019-06,,2020-12-21,https://www.iso.org/standard/73773.html,,,,,,,
,,,characterSet,relOnly; relComplete,ISO/IEC 10646:2020,Edition 6,Information Technology — Universal Coded Character Set (UCS),Active; Updated,International Standard,,2020-12,,,https://www.iso.org/standard/76835.html,,,,,,,
,,,characterSet,relOnly; relComplete,ISO/IEC 10646:2020/Amd 1:2023,Edition 6,"Information Technology — Universal Coded Character Set (UCS) (2020) — Amendment 1: CJK Unified Ideographs Extension H, Vithkuqi, Old Uyghur, Cypro-Minoan, and Other Characters",Active,International Standard,,2023-07,,,https://www.iso.org/standard/83362.html,,,,,,,
,,,characterSet,relOnly; relComplete,ISO/IEC 10646:2020/Amd 2:2025,Edition 6,"Information Technology — Universal Coded Character Set (UCS) (2020) — Amendment 2: Todhri, Garay, Tulu-Tigalari, Sunuwar, Gurung Khema, Kirat Rai, and Other Characters",Active,International Standard,,2025-06,,,https://www.iso.org/standard/85287.html,,,,,,,
,,,characterSet,relOnly; relComplete,X/Open FSS UTF,,"File System Safe UCS Transformation Format (UTF-8), part of X/Open CAE Specification",Obsoleted,Specification,,1995-03,,,,,,,https://archive.opengroup.org/pubs/archive/CDROM/c501.pdf,PDF,,
,,,characterSet,relOnly; relComplete,RFC2044,,"UTF-8, a Transformation Format of Unicode and ISO 10646",Informational; Obsoleted,RFC - Informational,Legacy,1996-10-01,,,https://www.rfc-editor.org/rfc/rfc2044.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc2044.txt,https://www.rfc-editor.org/rfc/rfc2044.html,https://datatracker.ietf.org/doc/rfc2044/,IETF Datatracker,10.17487/RFC2044,
,,,characterSet,relOnly; relComplete,RFC2279,,"UTF-8, a Transformation Format of ISO 10646",Obsoleted,Draft Standard,Legacy,1998-01-01,,,https://www.rfc-editor.org/rfc/rfc2279.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc2279.txt,https://www.rfc-editor.org/rfc/rfc2279.html,https://datatracker.ietf.org/doc/rfc2279/,IETF Datatracker,10.17487/RFC2279,
,,,characterSet,relOnly; relComplete,RFC3629,,"UTF-8, a Transformation Format of ISO 10646",Active,Internet Standard,IETF,2003-11-10,,,https://www.rfc-editor.org/rfc/rfc3629.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc3629.txt,https://www.rfc-editor.org/rfc/rfc3629.html,https://datatracker.ietf.org/doc/rfc3629/,IETF Datatracker,10.17487/RFC3629,Restates UTF-8 from Unicode and UCS from ISO/IEC 10646
,,,nonDigitalReference,stub,Kalender-Formeln,,"Christian Zeller. ""Kalender-Formeln."" Acta Mathematica. 9 131 - 136, 1887.",Informational,Academic Journal Article,,1887,,,,,,,,,10.1007/BF02406733,Text in German
,,,,stub,ITU-R Rec. TF.460-6 (02/2002),,Standard-Frequency and Time-Signal Emissions,Informational,ITU-R Recommendation,,2002-02-12,,,https://www.itu.int/rec/R-REC-TF.460,PDF,,,,,,
,,,,stub,Java SE 8 ISO_ZONED_DATE_TIME,,Java SE 8 API — Class DateTimeFormatter: ISO_ZONED_DATE_TIME,Informational,Documentation,,,,,https://docs.oracle.com/javase/8/docs/api/java/time/format/DateTimeFormatter.html#ISO_ZONED_DATE_TIME,HTML,,,,,,
,,,,stub,ICAO Annex 10,Edition 7,Annex 10 to the Convention on International Civil Aviation — Areonautical Telecommunications — Volume II — Communication Procedures including those with PANS status,informational,International Convention,,2016-07,,,https://store.icao.int/annex-10-aeronautical-telecommunications-volume-ii-communication-procedures-including-those-with-pans-status,,,,,,,
,,,,stub,RFC675,,Specification of Internet Transmission Control Program,Deprecated; Obsoleted; Errata,RFC - Historic,Legacy,1974-12,,,https://www.rfc-editor.org/rfc/rfc675.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc675.txt,https://www.rfc-editor.org/rfc/rfc675.html,https://datatracker.ietf.org/doc/rfc675/,IETF Datatracker,10.17487/RFC0675,
,,,,stub,RFC721,,Out-of-Band Control Signals in a Host-to-Host Protocol,Deprecated; Obsoleted,RFC - Historic,Legacy,1976-09,,,https://www.rfc-editor.org/rfc/rfc721.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc721.txt,https://www.rfc-editor.org/rfc/rfc721.html,https://datatracker.ietf.org/doc/rfc721/,IETF Datatracker,10.17487/RFC0721,
,,,,stub,RFC761,,DoD Standard Transmission Control Protocol,Deprecated; Obsoleted; Errata,RFC - Historic,Legacy,1980-01,,,https://www.rfc-editor.org/rfc/rfc761.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc761.txt,https://www.rfc-editor.org/rfc/rfc761.html,https://datatracker.ietf.org/doc/rfc761/,IETF Datatracker,10.17487/RFC0761,
,,,,stub,RFC793,,Transmission Control Protocol,Obsoleted; Updated; Errata,Internet Standard,Legacy,1981-09,,,https://www.rfc-editor.org/rfc/rfc793.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc793.txt,https://www.rfc-editor.org/rfc/rfc793.html,https://datatracker.ietf.org/doc/rfc793/,IETF Datatracker,10.17487/RFC0793,
,,,,stub,RFC813,,Window and Acknowledgement Strategy in TCP,Deprecated; Obsoleted,RFC - Historic,Legacy,1982-07,,,https://www.rfc-editor.org/rfc/rfc813.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc813.txt,https://www.rfc-editor.org/rfc/rfc813.html,https://datatracker.ietf.org/doc/rfc813/,IETF Datatracker,10.17487/RFC0813,
,,,,stub,RFC816,,Fault Isolation and Recovery,Deprecated; Obsoleted,RFC - Historic,Legacy,1982-07,,,https://www.rfc-editor.org/rfc/rfc816.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc816.txt,https://www.rfc-editor.org/rfc/rfc816.html,https://datatracker.ietf.org/doc/rfc816/,IETF Datatracker,10.17487/RFC0816,
,,,,stub,RFC879,,The TCP Maximum Segment Size and Related Topics,Deprecated; Obsoleted; Updated; Errata,RFC - Historic,Legacy,1983-11,,,https://www.rfc-editor.org/rfc/rfc879.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc879.txt,https://www.rfc-editor.org/rfc/rfc879.html,https://datatracker.ietf.org/doc/rfc879/,IETF Datatracker,10.17487/RFC0879,
,,,,stub,RFC896,,Congestion Control in IP/TCP Internetworks,Deprecated; Obsoleted,RFC - Historic,Legacy,1984-01,,,https://www.rfc-editor.org/rfc/rfc896.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc896.txt,https://www.rfc-editor.org/rfc/rfc896.html,https://datatracker.ietf.org/doc/rfc896/,IETF Datatracker,10.17487/RFC0896,
,,,,stub,RFC1072,,TCP Extensions for Long-Delay Paths,Deprecated; Obsoleted,RFC - Historic,Legacy,1988-10,,,https://www.rfc-editor.org/rfc/rfc1072.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1072.txt,https://www.rfc-editor.org/rfc/rfc1072.html,https://datatracker.ietf.org/doc/rfc1072/,IETF Datatracker,10.17487/RFC1072,
,,,,stub,RFC1078,,TCP Port Service Multiplexer (TCPMUX),Deprecated; Obsoleted,RFC - Historic,Legacy,1988-11,,,https://www.rfc-editor.org/rfc/rfc1078.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1078.txt,https://www.rfc-editor.org/rfc/rfc1078.html,https://datatracker.ietf.org/doc/rfc1078/,IETF Datatracker,10.17487/RFC1078,
,,,,stub,RFC1106,,TCP Big Window and NAK Options,Deprecated; Obsoleted,RFC - Historic,Legacy,1989-06,,,https://www.rfc-editor.org/rfc/rfc1106.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1106.txt,https://www.rfc-editor.org/rfc/rfc1106.html,https://datatracker.ietf.org/doc/rfc1106/,IETF Datatracker,10.17487/RFC1106,
