controllingOrgId,createdTimestamp,updatedTimestamp,shortName,fullName,url,organizationType,status,startDate,endDate,notes
,,,tn3270e WG,Telnet TN3270 Enhancements working group,https://datatracker.ietf.org/wg/tn3270e/about/,topic focus group,Closed,3/24/1997,2/19/2004,
,,,uribof WG,Uniform Resource Identifiers working group,https://datatracker.ietf.org/wg/uribof/about/,topic focus group,Closed,11/30/1992,7/21/1995,
,,,urlreg WG,Uniform Resource Locator Registration Procedures working group,https://datatracker.ietf.org/wg/urlreg/about/,topic focus group,Closed,7/24/1997,11/15/1999,
,,,urn WG,Uniform Resource Names working group,https://datatracker.ietf.org/wg/urn/about/,topic focus group,Closed,9/24/1996,10/21/2002,
,,,urnbis WG,"WGUniform Resource Names, Revised working group",https://datatracker.ietf.org/wg/urnbis/about/,topic focus group,Closed,11/23/2010,10/25/2017,
,,,IETF ART Area,IETF Applications and Real-Time Area,https://datatracker.ietf.org/group/art/about/,topic focus group,Active,5/28/2015,,
,,,appsawg WG,ART Area General Applications working group,https://datatracker.ietf.org/wg/appsawg/about/,topic focus group,Closed,10/26/2010,7/6/2017,
,,,jsonbis WG,Javascript Object Notation Update working group,https://datatracker.ietf.org/wg/jsonbis/about/,topic focus group,Closed,6/26/2015,12/18/2017,
,,,mediaman WG,Media Type Maintenance working group,https://datatracker.ietf.org/wg/mediaman/about/,topic focus group,Active,8/26/2021,,
,,,sedate WG,Serialising Extended Data About Times and Events working group,https://datatracker.ietf.org/wg/sedate/about/,topic focus group,Closed,7/2/2021,5/2/2024,
,,,wimse WG,Workload Identity in Multi System Environments working group,https://datatracker.ietf.org/wg/wimse/about/,topic focus group,Active,9/28/2023,,
,,,xmpp WG,Extensible Messaging and Presence Protocol working group,https://datatracker.ietf.org/wg/xmpp/about/,topic focus group,Closed,5/29/2009,9/14/2015,
,,,IETF INT Area,IETF Internet Area,https://datatracker.ietf.org/group/int/about/,topic focus group,Active,9/6/1983,,
,,,6man WG,IPv6 Maintenance working group,https://datatracker.ietf.org/wg/6man/about/,topic focus group,Active,9/20/2007,,
,,,ipngwg WG,IPNG working group,https://datatracker.ietf.org/wg/ipngwg/about/,topic focus group,Closed,11/17/1994,12/6/2001,
,,,ipv6 WG,IP Version 6 working group,https://datatracker.ietf.org/wg/ipv6/about/,topic focus group,Closed,12/5/2000,9/23/2007,
,,,ntp WG,Network Time Protocols working group,https://datatracker.ietf.org/wg/ntp/about/,topic focus group,Active,2/17/2005,,
,,,IETF OPS Area,IETF Operations and Management Area,https://datatracker.ietf.org/wg/ops/about/,topic focus group,Active,9/6/1983,,
,,,netmod WG,Network Modeling working group,https://datatracker.ietf.org/wg/netmod/about/,topic focus group,Active,4/29/2008,,
,,,IETF RTG Area,IETF Routing Area,https://datatracker.ietf.org/group/rtg/about/,topic focus group,Active,9/6/1983,,
,,,sidr WG,Secure Inter-Domain Routing working group,https://datatracker.ietf.org/wg/sidr/about/,topic focus group,Closed,4/12/2006,9/6/2018,
,,,IETF TSV Area,IETF Transport Area,https://datatracker.ietf.org/group/tsv/about/,topic focus group,Closed,9/6/1983,1/18/2024,End date unclear
,,,IETF WIT Area,IETF Web and Internet Transport Area,https://datatracker.ietf.org/group/wit/about/,topic focus group,Active,,,Start date unclear
,,,httpbis WG,HTTP working group,https://datatracker.ietf.org/wg/httpbis/about/,topic focus group,Active,10/18/2007,,
,,,masque WG,Multiplexed Application Substrate over QUIC Encryption working group,https://datatracker.ietf.org/wg/masque/about/,topic focus group,Active,6/14/2020,,
,,,quic WG,QUIC working group,https://datatracker.ietf.org/wg/quic/about/,topic focus group,Active,10/4/2016,,
,,,tcpm WG,TCP Maintenance and Minor Extensions working group,https://datatracker.ietf.org/wg/tcpm/about/,topic focus group,Active,2/5/2004,,
,,,IRTF,Internet Research Task Force,https://www.irtf.org/,open standards organization,,,,
,,,IRSG,Internet Research Steering Group,https://datatracker.ietf.org/group/irsg/about/,topic focus group,Active,8/2/2012,,
,,,cfrg RG,Crypto Forum research group,https://datatracker.ietf.org/rg/cfrg/about/,topic focus group,Active,7/17/2002,,
,,,IANA,Internet Assigned Numbers Authority,https://www.iana.org/,special purpose organization,Active,1988-12,,"IANA functions established in RFC1083, currently operated through affiliation with ICANN"
,,,ICANN,Internet Corporation for Assigned Names and Numbers,https://www.icann.org/,special purpose organization,Active,9/30/1998,,
,,,PTI (ICANN),Public Technical Identifiers,https://pti.icann.org/,special purpose organization,Active,10/1/2016,,
,,,OIDF,OpenID Foundation,https://openid.net/,open standards organization,Active,2007,,
,,,AB/Connect WG,OpenID AB/Connect working group,https://openid.net/wg/connect/,topic focus group,Active,2010-03,,
,,,AuthZEN WG,AuthZEN working group,https://openid.net/wg/authzen/,topic focus group,Active,2023-10,,
,,,DCP WG,Digital Credentials Protocols working group,https://openid.net/wg/digital-credentials-protocols/,topic focus group,Active,2023-08,,
,,,EAP WG,Enhanced Authentication Profile working group,https://openid.net/wg/eap/,topic focus group,Closed,2016-07,2025-06,
,,,eKYC-IDA WG,eKYC and Identity Assurance working group,https://openid.net/wg/ekyc-ida/,topic focus group,Active,2019-12,,
,,,FAPI WG,FAPI working group,https://openid.net/wg/fapi/,topic focus group,Active,2016-05,,
,,,FastFed WG,FastFed working group,https://openid.net/wg/fastfed/,topic focus group,Abandoned,2016-07,2022-03,"Last active meeting notes found for 2022-03-16, meeting on 2022-08-31 ended due to lack of attendance"
,,,HEART WG,HEART working group,https://openid.net/wg/heart/,topic focus group,Abandoned,2014-12,2022-03,"Last active messages in mail archive from 2022-03-31, last meeting 2020-04"
,,,iGov WG,iGov working group,https://openid.net/wg/igov/,topic focus group,Active,2015-08,,
,,,IPSIE WG,Interoperability Profiling for Secure Identity in the Enterprise working group,https://openid.net/wg/ipsie/,topic focus group,Active,2024-10,,
,,,MODRNA WG,"Mobile Operator Discovery, Registration & Authentication working group",https://openid.net/wg/modrna/,topic focus group,Active,2014-07,,
,,,R&E WG,Research and Education working group,https://openid.net/wg/rande/,topic focus group,Abandoned,2018-11,2022-03,Last active meeting notes found for 2022-03-23
,,,Shared Signals WG,Shared Signals working group,https://openid.net/wg/sharedsignals/,topic focus group,Active,2015-04,,
,,,WHATWG,Web Hypertext Application Technology Working Group,https://whatwg.org/,open standards organization,Active,2004,,
,,,W3C,World Wide Web Consortium,https://www.w3.org/,open standards organization,Active,1994,,
,,,did WG,Decentralized Identifier working group,https://www.w3.org/groups/wg/did/,open standards organization,Active,9/5/2019,4/28/2026,End date based on current charter
,,,fedid WG,Federated Identity working group,https://www.w3.org/groups/wg/fedid/,open standards organization,Active,3/28/2024,2/25/2027,End date based on current charter
,,,vc WG,Verifiable Credentials working group,https://www.w3.org/groups/wg/vc/,open standards organization,Active,4/14/2017,10/11/2026,End date based on current charter
,,,webauthn WG,Web Authentication working group,https://www.w3.org/groups/wg/webauthn/,open standards organization,Active,2/8/2016,4/30/2026,End date based on current charter
,,,xml WG,XML Core working group,https://www.w3.org/XML/Core/,open standards organization,Closed,,2016,
,,,FIDO Alliance,FIDO Alliance,https://fidoalliance.org/,industry association,Active,2013-02,,
,,,FIDO2 TWG,FIDO2 technical working group,https://fidoalliance.org/members/working-groups/,topic focus group,Active,,,
,,,DO TWG,Device Onboarding technical working group,https://fidoalliance.org/members/working-groups/,topic focus group,Active,,,
,,,Metadata TWG,Metadata Service technical working group,https://fidoalliance.org/members/working-groups/,topic focus group,Active,,,
,,,UAF TWG,Universal Authentication Framework technical working group,https://fidoalliance.org/members/working-groups/,topic focus group,Active,,,
,,,Kantara,Kantara Initiative,https://kantarainitiative.org/,industry association,Active,2009,,
,,,UMA WG,User Managed Access working group,https://kantarainitiative.org/work-groups/uma/,topic focus group,Active,7/15/2009,,Last meeting with quorum per notes on 2023-08-24
,,,IA WG,Identity Assurance working group,https://kantarainitiative.org/work-groups/iawg/,topic focus group,Active,2009,,
,,,RIUP WG,Resilient Identifiers for Underserved Populations working group,https://kantarainitiative.org/work-groups/riup/,topic focus group,Active,10/4/2022,,
,,,PEMC WG,Privacy Enhancing Mobile Credentials working group,https://kantarainitiative.org/work-groups/pemc/,topic focus group,Active,2021,,
,,,ANCR WG,Anchored Notice and Consent Receipts working group,https://kantarainitiative.org/work-groups/ancr/,topic focus group,Active,2021,,
,,,Ecma,Ecma International,https://ecma-international.org/,open standards organization,Active,1994,,Reorganized from European Computer Manufacturers Association
,,,ECMA (Ecma),European Computer Manufacturers Association,,industry association,Reorganized,5/17/1961,1994,Reorganized into Ecma International
,,,ECMA TC1,Codes (Coded character sets),,topic focus group,Closed,,,
,,,ECMA TC39,Programming Languages (ECMAScript),https://ecma-international.org/technical-committees/tc39/,topic focus group,Active,1996,,
,,,OASIS,OASIS Open,https://www.oasis-open.org/,open standards organization,Active,1993,,"Founded as SGML Open in 1993, assumed current name in 1998"
,,,Security TC,OASIS Security Services technical committee,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=security,topic focus group,Closed,,,
,,,WSFed TC,OASIS Web Services Federation technical committee,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=wsfed,topic focus group,Closed,,,
,,,WS-SX TC,OASIS Web Services Secure Exchange technical committee,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=ws-sx,topic focus group,Closed,,,
,,,WSS TC,OASIS Web Services Security technical committee,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=wss,topic focus group,Closed,,,
,,,WSS-M TC,OASIS Web Services Security Maintenance technical committee,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=wss-m,topic focus group,Closed,,,
,,,XACML TC,OASIS eXtensible Access Control Markup Language technical committee,https://groups.oasis-open.org/communities/tc-community-home2?CommunityKey=67afe552-0921-49b7-9a85-018dc7d3ef1d,topic focus group,Active,,,
,,,NIST,National Institute of Standards and Technology (US),https://www.nist.gov/,regional/national standards organization,Active,8/23/1988,,Reorganized from National Bureau of Standards (US)
,,,NBS (NIST),National Bureau of Standards (US),,regional/national standards organization,Reorganized,3/3/1901,8/23/1988,Reorganized into National Institute of Standards and Technology (US)
,,,ISO,International Organization for Standardization,https://www.iso.org/,international standards organization,Active,2/23/1947,,
,,,ISO TC 46,ISO technical committee - Information and Documentation,https://www.iso.org/committee/48750.html,international standards organization,Active,1947,,
,,,ISO TC 97,ISO technical committee - Computers Information Processing,,international standards organization,Reorganized,1960,1987,Reorganized into ISO/IEC JTC 1
,,,TC97 SC 2,TC97 subcommittee - Character Sets and Information Coding (SC2),,topic focus group,Reorganized,1961,1987,Reorganized into JTC1 SC 2
,,,TC97 SC 18,TC97 subcommittee - Text Preparation and Interchange (SC18),,topic focus group,Reorganized,1981,1987,Reorganized into JTC1 SC 18
,,,ISO TC 154,"ISO technical committee - Processes, Data Elements and Documents in Commerce, Industry and Administration",https://www.iso.org/committee/53186.html,international standards organization,Active,1972,,
,,,IEC,International Electrotechnical Commission,https://iec.ch/,international standards organization,Active,6/26/1906,,
,,,IEC TC 83,IEC technical committee - Information Technology Equipment,,international standards organization,Reorganized,,1987,Reorganized into ISO/IEC JTC 1
,,,ISO/IEC JTC 1,ISO/IEC Joint Technical Committee for Information Technology (JTC 1),https://jtc1info.org/,international standards organization,Active,1987,,Reorganized from ISO TC97 and IEC TC83
,,,JTC1 SC 2,JTC1 subcommittee - Coded Character Sets (SC 2),https://www.iso.org/committee/45050.html,topic focus group,Active,1987,,Reorganized from ISO TC97 SC2
,,,JTC1 SC 6,JTC1 subcommittee - Telecommunications and Information Exchange between Systems (SC 6),https://www.iso.org/committee/45072.html,topic focus group,Active,1987,,Reorganized from ISO TC97 SC6
,,,JTC1 SC 14,JTC1 subcommittee - Data Elements (SC 14),https://jtc1info.org/sd-2-history/jtc1-subcommittees/,topic focus group,Reorganized,1987,1997,Reorganized into JTC1 SC32
,,,JTC1 SC 17,JTC1 subcommittee - Smart Card (SC 17),https://jtc1info.org/technology/subcommittees/smart-cards/,topic focus group,Active,1987,,Reorganized from ISO TC97 SC17 || Original SC formed in 1969
,,,JTC1 SC 18,JTC1 subcommittee - Text and Office Systems (SC 18),https://jtc1info.org/sd-2-history/jtc1-subcommittees/,topic focus group,Reorganized,1987,1997,Reorganized into JTC1/SC 34 || Reorganized from ISO TC97 SC18
,,,JTC1 SC 21,JTC1 subcommittee - Upper Layers of OSI (SC 21),https://jtc1info.org/sd-2-history/jtc1-subcommittees/,topic focus group,Reorganized,1987,1997,Portions reorganized into ISO/IEC JTC1 SC32 and SC33
,,,JTC1 SC 22,"JTC1 subcommittee - Programming Languages, Their Environments and System Software Interfaces (SC 22)",https://www.iso.org/committee/45202.html,topic focus group,Active,1987,,
,,,JTC1 SC 27,"JTC1 subcommittee - Information Security, Cybersecurity and Privacy Protection (SC 27)",https://jtc1info.org/technology/subcommittees/information-security-cybersecurity-privacy-protection/,topic focus group,Active,1990,,Partially reorganized from ISO/IEC JTC1 SC20
,,,JTC1 SC 30,JTC1 subcommittee - Open Electronic Data Interchange,https://jtc1info.org/sd-2-history/jtc1-subcommittees/,topic focus group,Reorganized,1994,1997,Portions reorganized into ISO/IEC JTC1 SC32
,,,JTC1 SC 32,JTC1 subcommittee - Data Management and Interchange (SC 32),https://jtc1info.org/technology/subcommittees/data-mgmt-and-interchange/,topic focus group,Active,1997,,"Reorganized from portions of ISO/IEC JTC SC14, SC21, SC30"
,,,JTC1 SC 34,JTC1 subcommittee - Document Description and Processing Languages (SC 34),https://jtc1info.org/technology/subcommittees/document-description-and-processing-languages/,topic focus group,Active,1998,,Reorganized from portions of JTC1 SC18
,,,JTC1 SC 37,JTC1 subcommittee - Biometrics (SC 37),https://jtc1info.org/technology/subcommittees/biometrics/,topic focus group,Active,2002-08,,
,,,ITU,International Telecommunication Union,https://www.itu.int/,international standards organization,Active,1865-05-17,,
,,,CCITT (ITU-T),International Telegraph and Telephone Consultative Committee,,international standards organization,Reorganized,1956,1992,Reorganized from CCIF and CCIT || Reorganized into ITU-T
,,,CCITT JWP NRD (1972),CCITT Joint Working Group NRD (Study Period 1968-1972) - New Data Networks,,topic focus group,Reorganized,1969,1972,Reorganized into CCITT SG 7 (1976)
,,,CCITT SG 7 (1976),CCITT Study Group VII (Study Period 1973-1976) - New Networks for Data Transmission,,topic focus group,Continued,1973,1976,Reorganized from CCITT JWP NRD (1972)
,,,CCITT SG 7 (1980),CCITT Study Group VII (Study Period 1977-1980) - New Networks for Data Transmission,,topic focus group,Continued,1977,1980,
,,,CCITT SG 7 (1984),CCITT Study Group VII (Study Period 1981-1984) - Data Communication Networks,,topic focus group,Continued,1981,1984,
,,,CCITT SG 7 (1988),CCITT Study Group VII (Study Period 1985-1988) - Data Communication Networks,,topic focus group,Continued,1985,1988,
,,,CCITT SG 7 (1992),CCITT Study Group VII (Study Period 1989-1992) - Data Communication Networks,,topic focus group,Reorganized,1989,1992,Reorganized into ITU-T SG 7 (1996)
,,,CCITT SG 8 (1960),"CCITT Study Group 8 (Study Period 1957-1960) - Telegraph Apparatus and Local Connecting Lines, Facsimile and Phototelegraphy",,topic focus group,Reorganized,1957,1960,Reorganized into CCITT SG 8 (1964) and SG 14 (1964)
,,,CCITT SG 8 (1964),CCITT Study Group VIII (Study Period 1961-1964) - Alphabetic Telegraph Apparatus and Local Connecting Lines,,topic focus group,Continued,1961,1964,Reorganized from portions of CCITT SG 8 (1960)
,,,CCITT SG 8 (1968),CCITT Study Group VIII (Study Period 1965-1968) - Telegraph Equipment and Local Connecting Lines,,topic focus group,Continued,1965,1968,
,,,CCITT SG 8 (1972),CCITT Study Group VIII (Study Period 1969-1972) - Telegraph Equipment and Local Connecting Lines,,topic focus group,Continued,1969,1972,
,,,CCITT SG 8 (1976),"CCITT Study Group VIII (Study Period 1973-1976) - Telegraph and Data Terminal Equipment, Local Connecting Lines",,topic focus group,Continued,1973,1976,
,,,CCITT SG 8 (1980),"CCITT Study Group VIII (Study Period 1977-1980) - Telegraph and Data Terminal Equipment, Local Connecting Lines",,topic focus group,Reorganized,1977,1980,"Reorganized into updated CCITT SG VIII (1984), telex terminal questions to SG IX (1984)"
,,,CCITT SG 8 (1984),CCITT Study Group VIII (Study Period 1981-1984) - Terminal Equipment for Telematic Services,,topic focus group,Continued,1981,1984,Reorganized from merging CCITT SG VIII (1980) and SG XIV (1980)
,,,CCITT SG 8 (1988),CCITT Study Group VIII (Study Period 1985-1988) - Terminal Equipment for Telematic Services,,topic focus group,Continued,1985,1988,
,,,CCITT SG 8 (1992),CCITT Study Group VIII (Study Period 1989-1992) - Terminals for Telematic Services,,topic focus group,Reorganized,1989,1992,Reorganized into ITU-T SG 8 (1996)
,,,CCITT SG 9 (1960),"CCITT Study Group 9 (Study Period 1957-1960) - Quality of Telegraph Transmission, Specification of Channel Equipments and Directives for Maintenance of Telegraph Channels",,topic focus group,Continued,1957,1960,
,,,CCITT SG 9 (1964),"CCITT Study Group IX (Study Period 1961-1964) - Quality of Telegraph Transmission, Specification of Channel Equipments and Directives for Maintenance of Telegraph Channels",,topic focus group,Continued,1961,1964,
,,,CCITT SG 9 (1968),"CCITT Study Group IX (Study Period 1965-1968) - Quality of Telegraph Transmission, Specification of Channel Equipments and Directives for Maintenance of Telegraph Channels",,topic focus group,Continued,1965,1968,
,,,CCITT SG 9 (1972),"CCITT Study Group IX (Study Period 1969-1972) - Quality of Telegraph Transmission, Specification of Channel Equipments and Directives for Maintenance of Telegraph Channels",,topic focus group,Continued,1969,1972,
,,,CCITT SG 9 (1976),"CCITT Study Group IX (Study Period 1973-1976) - Telegraph Transmission Quality, Specification of Equipment and Rules for the Maintenance of Telegraph Channels",,topic focus group,Continued,1973,1976,
,,,CCITT SG 9 (1980),"CCITT Study Group IX (Study Period 1977-1980) - Telegraph Transmission Quality, Specification of Equipment and Rules for the Maintenance of Telegraph Channels",,topic focus group,Reorganized,1977,1980,Reorganized into updated CCITT SG IX (1984)
,,,CCITT SG 9 (1984),CCITT Study Group IX (Study Period 1981-1984) - Telegraph Networks and Telegraph Terminal Equipment,,topic focus group,Continued,1981,1984,"Reorganized from merging CCITT SG IX (1980) and SG X (1980), incorporating telex terminal questions from SG VIII (1980)"
,,,CCITT SG 9 (1988),CCITT Study Group IX (Study Period 1985-1988) - Telegraph Networks and Telegraph Terminal Equipment,,topic focus group,Continued,1985,1988,
,,,CCITT SG 9 (1992),CCITT Study Group IX (Study Period 1989-1992) - Telegraph Networks and Telegraph Terminal Equipment,,topic focus group,Reorganized,1989,1992,Reorganized into ITU-T SG 14 (1996) for telex questions and SG 1 (1996) for other questions
,,,CCITT SG 10 (1960),CCITT Study Group 10 (Study Period 1957-1960) - Telegraph Switching,,topic focus group,Continued,1957,1960,
,,,CCITT SG 10 (1964),CCITT Study Group X (Study Period 1961-1964) - Telegraph Switching,,topic focus group,Continued,1961,1964,
,,,CCITT SG 10 (1968),CCITT Study Group X (Study Period 1965-1968) - Telegraph Switching,,topic focus group,Continued,1965,1968,
,,,CCITT SG 10 (1972),CCITT Study Group X (Study Period 1969-1972) - Telegraph Switching,,topic focus group,Continued,1969,1972,
,,,CCITT SG 10 (1976),CCITT Study Group X (Study Period 1973-1976) - Telegraph Switching,,topic focus group,Continued,1973,1976,
,,,CCITT SG 10 (1980),CCITT Study Group X (Study Period 1977-1980) - Telegraph Switching,,topic focus group,Reorganized,1977,1980,Reorganized into updated CCITT SG IX (1984)
,,,CCITT SG 10 (1988),CCITT Study Group X (Study Period 1985-1988) - Languages and Methods for Telecommunications Applications,,topic focus group,Continued,1985,1988,"New study group, unrelated to CCITT SG X (1980) || Incorporated questions moved from CCITT SG XI (1984) and SG VII (1984)"
,,,CCITT SG 10 (1992),CCITT Study Group X (Study Period 1989-1992) - Languages for Telecommunications Applications,,topic focus group,Reorganized,1989,1992,Reorganized into ITU-T SG 10 (1996)
,,,CCITT SG 11 (1960),CCITT Study Group 11 (Study Period 1957-1960) - Telephone Signalling and Switching,,topic focus group,Continued,1957,1960,
,,,CCITT SG 11 (1964),CCITT Study Group XI (Study Period 1961-1964) - Telephone Signalling and Switching,,topic focus group,Continued,1961,1964,
,,,CCITT SG 11 (1968),CCITT Study Group XI (Study Period 1965-1968) - Telephone Signalling and Switching,,topic focus group,Continued,1965,1968,
,,,CCITT SG 11 (1972),CCITT Study Group XI (Study Period 1969-1972) - Telephone Signalling and Switching,,topic focus group,Continued,1969,1972,
,,,CCITT SG 11 (1976),CCITT Study Group XI (Study Period 1973-1976) - Telephone Signalling and Switching,,topic focus group,Continued,1973,1976,
,,,CCITT SG 11 (1980),CCITT Study Group XI (Study Period 1977-1980) - Telephone Signalling and Switching,,topic focus group,Continued,1977,1980,
,,,CCITT SG 11 (1984),CCITT Study Group XI (Study Period 1981-1984) - Telephone Signalling and Switching,,topic focus group,Reorganized,1981,1984,Reorganized into updated CCITT SG XI (1988) with some questions moved to CCITT SG X (1988)
,,,CCITT SG 11 (1988),CCITT Study Group XI (Study Period 1985-1988) - ISDN and Telephone Network and Signalling,,topic focus group,Continued,1985,1988,
,,,CCITT SG 11 (1992),CCITT Study Group XI (Study Period 1989-1992) - Switching and Signalling,,topic focus group,Reorganized,1989,1992,Reorganized into ITU-T 11 (1996)
,,,CCITT SG 14 (1964),CCITT Study Group XIV (Study Period 1961-1964) - Facsimile Telegraph Transmission and Equipment,,topic focus group,Continued,1961,1964,Reorganized from portions of CCITT SG 8 (1960)
,,,CCITT SG 14 (1968),CCITT Study Group XIV (Study Period 1965-1968) - Facsimile Telegraph Transmission and Equipment,,topic focus group,Continued,1965,1968,
,,,CCITT SG 14 (1972),CCITT Study Group XIV (Study Period 1969-1972) - Facsimile Telegraph Transmission and Equipment,,topic focus group,Continued,1969,1972,
,,,CCITT SG 14 (1976),CCITT Study Group XIV (Study Period 1973-1976) - Facsimile Telegraph Transmission and Equipment,,topic focus group,Continued,1973,1976,
,,,CCITT SG 14 (1980),CCITT Study Group XIV (Study Period 1977-1980) - Facsimile Telegraph Transmission and Equipment,,topic focus group,Reorganized,1977,1980,Reorganized into updated CCITT SG 8 (1984)
,,,CCITT SSG A (1964),CCITT Special Study Group A (Study Period 1961-1964) - Data Transmission,,topic focus group,Continued,1961,1964,
,,,CCITT SSG A (1968),CCITT Special Study Group A (Study Period 1965-1968) - Data Transmission,,topic focus group,Continued,1965,1968,
,,,CCITT SSG A (1972),CCITT Special Study Group A (Study Period 1969-1972)  - Data Transmission,,topic focus group,Continued,1969,1972,
,,,CCITT SSG A (1976),CCITT Special Study Group A (Study Period 1973-1976) - Data Transmission,,topic focus group,Reorganized,1973,1976,Reorganized into CCITT SG 17
